id,internal-note,county,category,subcategory,organization,address,address2,pobox,city,state,zipcode,longitude,latitude,phone,fax,email,website,hours,transportation,translation,bilingual,documents,citizenship,cost,notes,amy-notes
161,,Essex,Education,ESL; Adult education,Literacy Volunteers Essex & Franklin Co.,3265 Broad Street,,PO Box 595,Port Henry,NY,12974,-73.460082,44.048883,(518) 546-3008,(518) 942-7607,lvsandra@hotmail.com,www.litvol.com,Tu-Th 10:30 AM-4:30PM,No,By appointment,No,No,Not required,No cost,,
162,,Essex,Education,ESL; Adult education,Literacy Volunteers Essex & Franklin Co.,2471 Main Street,,,Lake Placid,NY,12946,-73.985038,44.289181,(518) 837-5238,,trilakeslitvol@gmail.com,www.litvol.com,M-F 3:30PM-5:30PM,No,By appointment,No,No,Not required,No cost,,
163,,Essex,Elderly services; Programs for families; Housing; Labor,Career training; Programs for kids; Home improvements,"Adirondack Community Action Programs, Inc.",7572 Court Street,Suite 2,PO Box 848,Elizabethtown,NY,12932,-73.592801,44.214555,(518) 873-3207,(518) 873-6845,jmarinelli@acapinc.org,www.acapinc.org,M-F 8:30 AM-3:00 PM,No,"Yes, through the Dept. of Labor",No,Not for walk-in services,Caution: most services require proof of citizenship or legal working status,No cost,Community action agency serving Essex County.,
164,,Essex,Education; Labor; Leadership training; Programs for families,Adult education; Career education; Programs for kids; Training; Career advice,Cornell Cooperative Extension,8487 US Route 9,,,Lewis,NY,12950,-73.566239,44.270618,(518) 962-4810,(518) 962-8241,essex@cornell.edu,www.essex.cce.cornell.edu,M-F 8:30 AM-4:30PM; July and August M-F 8:30 AM-4:00 PM,No,"Yes, Spanish",No,No,Depends on program,Depends on program,"Provides nutrition and horticulture education, 4-H Youth Development, and worker protection for harvesters and spray applicators.",
165,,Essex,Housing,Home improvements,"Housing Assistance Program of Essex County, Inc.",103 Hand Ave.,,PO Box 157,Elizabethtown,NY,12932,-73.591165,44.214426,(518) 873-6888,(518) 873-9102,info@hapec.org,http://www.hapec.org/,M-F 8:30 AM-4:30PM,No,No,No,ID,"Not required for many programs, but must prove legal residence for Section 8",No cost,"Section 8 Rental assistance, essex County First Buyer, Housing Rehabilitation",
166,,Essex,Labor,Job search assistance; Training,Essex County OneWorkSource Center/Workforce New York,7572 Court Street,Suite 2,PO Box 848,Elizabethtown,NY,12932,-73.592801,44.214555,(518) 873-3207,(518) 873-2392,,www.oneworksource.com,M-F 8:30 AM-3:00 PM,No,Yes,No,No,Caution: proof of citizenship or visa may be required,No cost,"Job Search Assistance, Use of Computers, Resume Help,",
167,,Franklin,Education,ESL; Adult education,Literacy Volunteers Essex & Franklin Co.,158 Finney Boulevard,,,Malone,NY,12953,-74.300533,44.838808,(518) 302-6338,,lvsandra@hotmail.com,https://litvol.com/,Tu-Sat by appointment,No,Yes,No,No,Not required,No cost,,
168,,Franklin,Education; Labor; Leadership training; Programs for families,Adult education; Career education; Programs for kids; Training; Career advice,Cornell Cooperative Extension,355 West Main Street,Suite 150,,Malone,NY,12953,-74.295309,44.849171,(518) 483-7403,(518) 483-6214,franklin@cornell.edu,http://franklin.cce.cornell.edu,M-F 8:00AM-4:00 PM,No,"Yes, Spanish",No,No,Depends on program,Depends on program,,
169,,Franklin,Housing,Home improvements,"Franklin County Community Housing Council, Inc.",95 West Main Street,,,Malone,NY,12953,-74.293034,44.848828,(518)483-5934,(518) 483-0984,fcchc1@yahoo.com,https://www.nyconnects.ny.gov/providers/franklin-county-community-housing-council-sofa-ag-409842,M-Th 8:00AM-4:00 PM; F 8:00AM-12:00 PM,No,No,No,Yes,Caution: Proof of citizenship may be required for some programs,No cost,"Provides rental assistance through Franklin County, First Time Home Buyer Program",
170,,Franklin,Emergency assistance; Health; Emergency assistance; Programs for families,Food; Health accessibility; Programs for kids; Parenting support; Housing improvements,"Joint Council For Economic Opportunity of Clinton and Franklin Counties, Inc.",3668 Route 3,,,Saranac,NY,12981,-73.750341,44.640763,(518) 293-6661,(518) 562-2947,jceo@jceo.org,www.jceo.org,M-F 8:30 AM-4:00 PM,Medical transportation,No,No,Proof of address,"Food pantry, clothing assistance do not require proof of legal status; other programs require proof of ability to legal working status",,"Community, senior outreach, head start, daycare, emergency services, food pantry",
171,,Franklin,Labor,Job search assistance; Training,Franklin County OneWorkSource Center,158 Finney Boulevard,,,Malone,NY,12953,-74.300533,44.838808,(518) 481-5755; (877) 410-5751 --  (Ext. 3033),(518) 483-0740,please call,www.oneworksource.com,M-F 8:00AM-4:00 PM,No,Yes,No,Proof of legal working status,Caution: proof of legal working status is required to receive services,No cost,,
172,,Fulton,Education,ESL; Adult education,"Literacy New York, Fulton, Montgomery, Schoharie County",73 N Main Street,Suite 101,PO Box 852,Gloversville,NY,12078,-74.344529,43.052462,(518) 725-1440; (518) 227-3786,,lnyfms2@gmail.com,www.lvasc.org,M-Th 9:00AM-3:30PM,No,No,No,No,Not required,No cost,Tutors work with students individually. Services are confidential.,
173,,Fulton,Education; Labor; Leadership training; Programs for families,Adult education; Career education; Programs for kids; Training; Career advice,Cornell Cooperative Extension: Fulton and Montgomery Counties,55 East Main Street,Suite 210,,Johnstown,NY,12095,-74.368793,43.006889,(518) 583-2135,(518) 853-2129,fulton montgomery@cornell.edu,www.ccefm.com,M-Th 8:00AM-4:00 PM,No,"Yes, Spanish",No,No,Depends on program,Depends on program,Agricultural extension services.,
174,,Fulton,Health; Programs for families; Housing,Women's health; Programs for kids; Home improvements,"Fulmont Community Action Agency, Inc",20 Park Street,County Annex,PO Box 835,Fonda,NY,12068,-74.373043,42.952697,(518) 853-3011,(518) 853-3855,contact page on website,www.fulmont.org,M-F 8:30 AM-4:00 PM,No,Yes,No,ID; proof of address; proof of income (last 30 days),Not required,No cost,Includes Head Start and a Community Services department.,
175,,Fulton,Labor,Job search assistance,Gloversville Workforce Solutions,43-47 North Main Street,,,Gloversville,NY,12078,-74.344600,43.051991,(518) 842-3676,(518) 773-8202,contact page on website,http://www.fmsworkforcesolutions.org,M-F 8:00AM-12:00 PM; 1:00 PM-4:30PM,No,No,No,ID,"Not required to access office services, but may be required by employers that they network with",,Connects the workforce with employers.,
176,,Genesee,Programs for families,Programs for kids,Agri-Business Child Development (ABCD)-Batavia,18 Brooklyn Ave,,,Batavia,NY,14020,-78.197440,42.998686,(585) 343-8160,(585) 343-8456,batdir@abcdny.org,http://www.abcdny.org/locations,M-F 7:30 AM-4:00 PM,Yes,"Yes, Spanish",Yes,Birth certificate of kids; parents work (or school enrollment) verification,,No cost,Day care for children of migrant farmworkers.,
177,,Genesee,Education; Labor,ESL; Adult education; Career education; Job search assistance; Training,CORE,1 Mill Street,,,Batavia,NY,14813,-78.188727,42.993897,(844)  WNY-CORE; (844) 969-2673,(585) 228.1015,cgraff@lwny.org,http://core2learn.org/index.html,M-F 8:30 AM-4:00 PM,No,Yes,Yes,No,Not required,No cost,,
178,,Genesee,Leadership training,Empowerment,Alianza Agricola,5672 McLernon Road,,,East Bethany,NY,14054,-78.104906,42.923836,(585) 207-3185,,contacto.alianzaagricola@gmail.com,www.alianzaagricola-wjcny.nationbuilder.com,by appointment,No,"Yes, Spanish",Yes,No,Not required,No cost,"Alianza Agricola is a group led by and comprised of immgrant farmworkers in Western and Central NY. Through participation in the group, Alianza members are empowered to advocate on their own behalf and gain valuable leadership skills and access to opportunities.",
179,,Genesee,Education,ESL; Adult education,Literacy of Genesee/Orleans CORE,27 Batavia City Centre,,,Batavia,NY,14020,-78.184447,42.998367,(585) 343-0802,(585) 343-4809,cgraff@lwny.org,https://literacygeneseeorleans.weebly.com/,M-F 9:00AM-4:00 PM,No,No,No,No,Not required,No cost,"Individual literacy tutoring for youth and adults. (kids 16 and over, must have proof of drop-out status if you've attended school in the US. If not, no documentation needed)",
180,,Genesee,Emergency assistance; Referral to other agencies; Mental health; Programs for families; Legal aid; Elderly services,Food; Psychological support; Clothing; Domestic violence; Drug/alcohol treatment; Parenting support; Career training; Job search assistance,Catholic Charities,25 Liberty Street,#7,,Batavia,NY,14020,-78.179281,42.994938,(585) 343-0614,(585) 344-3868,please call,www.ccwny.org,M-F 8:45AM-4:45PM,No,By appointment,No,ID,Not required,No cost,"Domestic violence program for men (M & W evenings), emergency assistance, individual, children, and family counseling, parent education and awareness program. Service Arcade, Worsaw, Albion",
181,,Genesee,Education,ESL; Adult education,Genesee Valley Migrant Education Outreach Program,39 Washington Ave.,,PO Box 677,Batavia,NY,14020,-78.185379,43.001074,(585) 658-7561,,office@migrant.net,www.migrant.net,M-F 8:00AM-5:00 PM,No,"Yes, Spanish",Yes,No,Not required,Some programs have a small fee,"Dental, health program, summer camp, literature program, special education, naturalization services.",
182,,Genesee,Health; Referral to other agencies,Farm Visits,Genesee County Health Department,3837 W Main Street,,,Batavia,NY,14020,-78.227844,43.007480,(585) 344-2580 (ext. 5555),,health@co.genesee.ny.us,www.co.genesee.ny.us/departments/health/,M-F 8:30 AM-5:00 PM,No,No,No,Yes,CAUTION: Proof of citizenship likely to be required,,,
183,,Genesee,Education; Labor,ESL; Adult education; Career education; Job search assistance; Training,CORE,1 Mill Street,,,Batavia,NY,14020,-78.188727,42.993897,(585) 343-0802,,info@lwny.org,http://core2learn.org/index.html,M-F 8:30 AM-4:00 PM,,Yes,No,No,Not required,No cost,,
184,,Genesee,Labor,Job search assistance; Training; Career advice,Department of Labor,587 East Main Street,Suite 100,,Batavia,NY,14020,-78.163993,42.995901,"(315) 877-7996 contact Laura Cardoso, not the main office at this location",(585) 344-4495,laura.cardoso@labor.ny.gov,http://co.genesee.ny.us/departments/jobdevelopment/index.php,M-F 8:30 AM-5:00 PM,No,Yes,Yes,Proof of address,"Caution: Contact Laura Cardoso, Agricultural Labor Specialist. Labor law protections in New York State apply to all workers, regardless of immigration status. U.S. work authorization is required to register for career center/job search services",,People without green cards eligible for certain agricultural-related services,
185,,Genesee,Emergency assistance,Food,Justice for Children Advocacy Center,304 East Main Street,,,Batavia,NY,14020,-78.178633,42.996678,(585) 344-2203,,jfcac@co.genesee.ny.us,www.co.genesee.ny.us,M-F 9:00AM-4:00PM,No,By appointment,By appointment,Proof of address,"Caution: This is a government office, call and ask about program first",No cost,Food assistance programs for women with children under 5 years old,
186,,Genesee,Emergency assistance,Food,Our Lady of Fatima Church,64 Main Street,,,Elba,NY,14058,-78.187084,43.074455,(716) 380-9337,,contact page on website,http://padrepiony.org/our-lady-of-fatima-church/,Call for appointment,No,Yes,Yes,No,Not required,No cost,,
187,,Genesee,Health,Specialty medicine,Breast/Prostrate Cancer Peer Education Project,621 10th Street,,,Niagara Falls,NY,14302,-79.049629,43.093954,(716) 219-4047,,contact page on website,https://nfmmc.org/,M-F 9:00AM-5:00PM,No,Yes,No,No,Not required,No cost,,
188,,Genesee,Emergency assistance,Food,Salvation Army,529 East Main Street,,,Batavia,NY,14020,-78.169256,42.996082,(585) 343-6284,,contact page on website,https://empire.salvationarmy.org/EmpireNY/Batavia,Call for interview,No,By appointment,By appointment,Proof of income,Not required,No cost,,
189,,Genesee,Mental health,Alcohol/drug abuse treatment,Council on Alcoholism and Substance Abuse,430 East Main Street,,,Batavia,NY,14020,-78.173084,42.995762,(585) 343-1124,,contact page on website,http://www.211wny.org/provider/2616/,M-Th 9:00AM-9:00PM; F 9:00AM-4:00PM,No,By appointment,No,No,Not required,No cost,,
190,,Genesee,Mental health; Programs for families,Psychological support; Programs for kids,Hispanic Migrant Ministry,106 South Main Street,Catholic Diocis of Buffalo,,Albion,NY,14411,-78.194160,43.244964,(716) 380-9337,,contact page on website,https://www.buffalodiocese.org/hispanic-migrant-ministry,24/7,No,Yes,Yes,No,Not required,No cost,"Offer Catholic services in Spanish, baptisms, first communions, marriages, etc.",
191,,Greene,Emergency assistance; Victim support; Housing; Financial aid; Referral to other agencies; Programs for families,Food; Clothing; Domestic violence; Home improvements; Emergency shelter; Affordable housing;,"Community Action of Greene County, Inc.",7856 US Highway 9W,,,Catskill,NY,12414,-73.869893,42.229975,(518) 943-9205,(518) 943-0343,contact page on website,www.cagcny.org,M-F 8:30 AM-4:30PM closed for lunch from 12PM-1:00 PM,No,By appointment,No,ID; Proof of income,"Not required for most services, proof of citizenship required for Federally funded programs",No cost,"General community development services are offered, geared towards anyone in need. These include health help with weatherization, domestic violence, food pantry, and helping to afford a car or set up car-pooling for transportation to a job.",
192,,Greene,Financial help; Health; Housing; Programs for families,Financial education; Utility assistance; Programs for kids,Cornell Cooperative Extension Columbia-Greene County,479 Route 66,,,Hudson,NY,12534,-73.748304,42.255424,(518) 828-3346,(518) 828-3069,columbiagreene@cornell.edu,http://counties.cce.cornell.edu/columbia/,M-F 8:30 AM-4:30PM,No,Yes,No,Depends on the program,,Depends on the program,,
193,,Greene,Labor,Job search assistance; Training,Columbia - Greene Community College/Workforce New York,4400 Route 23,,,Hudson,NY,12534,-73.817962,42.217920,(518) 828-4181 ext 5510,(518) 822-2007,contact page on website,www.columbiagreenworks.org,M-F 8:30 AM-5:00 PM,No,Yes,No,Depends on the program,"Caution: Proof of citizenship may be required for some programs. Contact Laura Cardosa, Agricultural Program Specialist specialist for ag-related questions",No cost,Office has Rural Representative and Rural Employment Aid from NY DOL Employment.,
194,,Greene,Education,ESL,"Literacy Connections of the Hudson Valley, Inc.",51 North 5th Street,,,Hudson,NY,12534,-73.784973,42.251262,(518) 828-1792 Ext. 104,,info@literacyconnections.org,http://www.literacyconnections.org/,W 1:00 PM-8:00 M; Tu Th 10:00AM-12:00 PM; F 1:00 PM-5:00 PM,Yes,"Yes, Spanish",Yes,No,Not required,No cost,Public ESL classes at varying levels. Free childcare is provided.,
195,,Hamilton,Education; Labor; Leadership training; Programs for families,Adult education; Career education; Programs for kids; Training; Career advice,Cornell Cooperative Extension,1722 State Route 8,Room 6,PO Box 7,Piseco,NY,12139,-74.497118,43.427463, (518) 548-6191  ,(518) 548-7803,hamilton@cornell.edu,http://hamilton.cce.cornell.edu/,M-F 8:00AM-4:30PM,No,"Yes, Spanish",No,No,Depends on program,Depends on program,,
196,,Hamilton,Housing; Emergency assistance; Labor,Home improvements; Utility assistance; Food; Clothing; Emergency financial assistance; Victim support,"Warren-Hamilton Counties Action Committee for Economic Opportunity, Inc.",190 Maple St.,,PO Box 968,Glens Falls,NY,12801,-73.635923,43.312130,(518) 793-0636,(518) 793-2910,mail@wahacaa.org,http://wahacaa.org/,M-F 8:00AM-4:30PM,No,No,No,ID; proof of income,"Not required to access emergency services, but proof of legal status required for most housing services",No cost,"Food pantry, clothing assistance, help with doctor appointments, outreach program, referrals.",
197,,Hamilton,Labor; Emergency assistance,Job search assistance; Food,Hamilton County Social Service/OneWorkSource Center,139 White Birch Lane,PO Box 729,,Indian Lake,NY,12842,-74.261346,43.777831,(518) 648-6131,(518) 648-5257,contact page on website,http://www.ncworkforce.com/,M-F 8:30 AM-4:30PM,No,Yes,No,ID; proof of citizenship,Caution: proof of legal status required for ALL programs,No cost,Child care subsidy; HEAT; SNAP,
198,,Herkimer,Programs for families; Emergency assistance; Housing; Referral to other agencies,Utility assistance; Programs for kids; Food; Clothing,"Mohawk Valley Community Action Agency, Inc.",38 Morgan Street,,,Ilion,NY,13357,-75.038017,43.014592,(315) 624-9930,(315) 339-2981,contact page on website,www.mvcaa.com,M 4:30 AM-4:00 PM; Tu-F 8:30 AM-4:30PM; Summer Hours: M-F 8:30 AM-4:30PM,"Yes, only for early Head Start intervention program",Yes,No,"Yes, Social Security number","Not required to receive food, clothing, personal products, but cash benefits and most programs require proof of citizenship",No cost,"Ask for the Angels Program if you are under-documented. Housing, Child Development, Youth and Family.",
199,,Herkimer,Education; Programs for families,ESL; programs for kids,METS (Migrant Education Tutorial & Support Services Program),352 Gros Boulevard,,,Herkimer,NY,13350,-74.964206,43.038988,(315) 867-2079,(315) 339-2981,mkline@herkimer-boces.org,http://nysmigrant.org/,M-F 8:00AM-4:00 PM,No,Yes,"Available (May not be initially, but could be directed if requested)",No,Not required,No Cost,"School districts served in Madison, Oneida, Herkimer, Montgomery, Schenectady, Albany, Greene, Columbia, Rensselaer, Washington, Saratoga, Fulton, Hamilton, and Warren Counties. Part of No Child Left Behind program. Works in partnership with local schools. Preschool tutors make weekly home visits; academic support and tutoring for students either in school or at home; adolescent outreach program; services for out-of-school youth; ESL classes; family literacy program; assistance obtaining U.S. citizenship; family advocacy; health services; tutoring summer services; other special activities.",
200,,Herkimer,Programs for families; Emergency assistance; Housing; Elderly services,Programs for kids; Food; Other needs; Clothing; Home improvements,Mohawk Valley Community Action Agency,401 E. German St.,Suite 314/3rd Floor,,Herkimer,NY,13350,-74.987908,43.033962,(315) 866-0030,(315) 866-2523,mscialdo@mvcc.com,http://www.mvcaa.com/,M 9:30 AM-5:00 PM; Tu-F 8:30 AM-4:30PM; Summer Hours: M-F 8:30 AM-4:30PM,Emergency Transportation,Yes (any primary language needed),No,"No, but intake paperwork","Caution: may receive emergency food, clothing and personal supplies, but proof of citizenship required for most programs",No cost,"Serving people no more than 10% above the poverty guideline and people with disabilities. Section 8 Housing, FSS, FUP, 1st month rent, security deposit, vita tax service, Annie's Fund for Women, car seats, case management.",
201,,Herkimer,Labor,Job search assistance: Training,Herkimer Working Solutions Career Center,320 N Prospect Street,,,Herkimer,NY,13350,-74.989853,43.027373,(315) 867-1400,(315) 867-1313,hceta@herkimercounty.org,www.working-solutions.org,M-F 8:00AM-4:00 PM,No,By appointment,No,Photo ID; Proof of legal working status,Caution: Proof of citizenship is required to participate. Can use the computer bank without registering.,No cost,Karen Tesik. Training and employment services.,
202,JEFFERSON - director verifying,Jefferson,Programs for families; Education; Housing; Emergency assistance; Labor,Child care; Parenting support; Home improvements; Food; Other needs; Job search assistance,"Community Action Planning Council of Jefferson County, Inc. (CAPC)",518 Davidson Street,,,Watertown,NY,13601,-75.909024,43.980625,(315) 782-4900,(315) 788-8251,contact page on website,www.capcjc.org,M-F 8:00AM-5:00 PM; Summer Hours: M-F 8:00AM-4:00 PM,"Yes, only for early Head Start intervention program","Yes, Spanish",Yes,Proof of income,Not required,No cost,Head Start and Universal Pre-K. Family Center deals with crisis situations as well as SNAP applications. Weatherization Project helps people make their homes more energy efficient.,
203,,Jefferson,Education; Labor; Leadership training; Programs for families,Adult education; Career education; Programs for kids; Training; Career advice,Cornell Cooperative Extension of Jefferson County,203 North Hamilton Street,,,Watertown,NY,13601,-75.895063,43.972964,(315) 788-8450,(315) 788-8461,jefferson@cornell.edu,www.ccejefferson.org,M-F 8:30 AM-4:30PM,No,By appointment,No,Depends,Caution: Proof of citizenship may be required for some programs,,"Provides education and training in dairy and livestock, field crops, agronomy, farm business management, horticulture, and new farm ventures.",
204,,Jefferson,Education,ESL,Literacy of Northern New York,200 Washington Street,Suite 303,,Watertown,NY,13601,-75.911239,43.973866,(315) 782.4270,,contact page on website,http://www.literacynny.org,M-F 8:00AM - 4:00 PM,Travel to farms,Yes,No,No,Not required,No cost,Travel to the farms,
205,,Jefferson,Legal aid,,The American Red Cross - Fort Drum Chapter,10000 10th Mountain Division Drive,,,Fort Drum,NY,13602,-75.790478,44.048635,(315) 772-6561,,contact page on website,www.redcross/local/new-york/eastern-new-york/about-us/locations/fort-drum.html,M-F 9:00AM-5:00 PM,No,No,No,Proof of military service,Only US Service Members are served by this chapter except of family reunification program,No cost,Provide unique service of reuniting refugee families in the US with family members abroad,
206,,Jefferson,Emergency Services; Referral to other agencies,Food; Clothing; Medicine; Emergency Shelter; Other needs,The American Red Cross - Watertown,10001 10th Mountain Division Drive,,,Watertown,NY,13602,-75.790353,44.048697,(315) 782-4410,,contact page on website,www.redcross/local/new-york/eastern-new-york/about-us/locations/fort-drum.html,M-F 9:00AM-5:00 PM,No,No,No,No,Not required in emergency situations,No cost,,
207,,Jefferson,Legal Aid,Family law; Immigration law; Other law,"Legal Aid Society of Mid-New York, Inc.",215 Washington Street,Suite 202,,Watertown,NY,13601,-75.910424,43.973420, (315) 955-6700 ,(315) 785-9118,"no email, must call for screening interview (877) 777-6152  M-F 9:00AM-3:00 PM",http://www.lasmny.org/offices/Watertown.shtm,M-F 9:00AM- 5:00 PM,No,Yes,No,Depends on case,Not required,No cost,,
208,,Kings,Legal aid,Family law; Other law,"Brooklyn Bar Association Volunteer Lawyers Project, Inc.",123 Remsen St,,,Brooklyn,NY,11201,-73.993527,40.693950,(718) 624-3894,(718) 624-3926,please call,www.brooklynvlp.org,Tu-Th 10:00AM-4:00 PM,No,No,"Yes, Spanish, Creole",No,Not required,"If qualified, no cost","Case Types:ë_AIDS, Bankruptcy, Consumer, Elder Law, Family Law (Uncontested Dissolution of Marriage, Child/Spousal Support, Custody/Visitation), Wills and Estates. Case Restrictions:ë_must be a resident of Kings County (Brooklyn), NY.",
209,,Kings,Legal aid,Family law; Other law,Brooklyn Legal Services Corporation Senior Citizen's Law Office,1 Boerum Place,3rd floor,,Brooklyn,NY,11201,-73.988920,40.691447,(718) 488-7448,(718) 488-9856,please call,http://www.wsiaca.org/resourcedirectory/?orgID=9,M-F 9:00AM-5:00 PM,No,Yes,Yes,"Proof of age, only serves people of 60 years old",Not required,No cost,"Must be over 60 years of age, live in New York City and have civil/legal problems. Legal aid in cases of bankruptcy, debt, consumer law, housing, wills and estates, and public benefits.",
210,,Kings,Labor,Job search assistance; Training; Career advice,Brooklyn Workforce1 Career Center,9 Bond Street,5th Floor,,Brooklyn,NY,11201,-73.983090,40.689283,(718) 246-5219,,Workforce1 Brooklyn@grantassociatesinc.com,www.goodwil.ny.org,M-F 9:00AM-5:00 PM,No,Yes,No,ID,"Not required to access office services, but may be required by employers that they network with",No cost,,
211,,Lawrence,Legal Aid,Immigration law; Family law; Other law; Labor disputes,"Legal Aid Society of Northeastern New York, Inc.",17 Hodskin Street,,,Canton,NY,13617,-75.171414,44.596445,(315) 386-4586,(315) 386-2868,please call,www.lasnny.org,M-F 9:00 AM - 12:00 PM and 1:00 PM - 5:00 PM,No,Yes,Yes,Proof of legal working status,Caution: proof of citizenship required to receive counsel unless the case is domestic violence-related,No cost,,
212,,Lewis,Labor,Job search assistance; Training; Career advice,One-Stop Career Center,5274 Outer Stowe St,,,Lowville,NY,13367,-75.499007,43.780064,(315) 376-5800,(315) 376-5328,LewisOneStop@dfa.state.ny.us,https://co.jefferson.ny.us/Theworkplace,M-F 8:30 AM-4:30PM,No,Yes,Yes,Yes,Caution: Proof of citizenship may be required for some programs,No cost,"Provides employment services to assist farmworkers find work. Career Center provides workshops, resume help.",
213,,Lewis,Financial help; Housing; Emergency assistance; Referral to other agencies; Programs for families; Victim support; Legal aid; Referral to agencies,Emergency financial aid; Utility assistance; Food; Clothing; Other needs; Parenting support; Other law; Personal finances; Housing improvements;,"Lewis County Opportunities, Inc. (CAP)",8265 State Route 812,,,Lowville,NY,13367,-75.438397,43.837050,(315) 376-8202,(315) 376-8421,smathys@lcopps.org,www.lewiscountyopportunities.com,M-F 8:00AM-12:00 PM and 1:00 PM-4:00 PM,No (But offers Wheels for Workforce)  --  transportation),By appointment,No,"Photo ID, varies depending on the program (passport or pay stubs)","Not required to receive food, clothing, personal products, but cash benefits and many programs require proof of citizenship",No cost,"Community action organization that provides assistance to those eligible. Programs include domestic violence prevention, rental assistance, weatherization assistance, and food pantry. Visit the community links portion of the website for further resources in the area.",
214,,Lewis,Education,ESL,Literacy of Northern New York,7640 North State St,,,Lowville,NY,13367,-75.493075,43.787874,(315) 376-8188,,contact page on website,http://www.literacynny.org/,,No,Yes,No,No,Not required,No cost,,
215,,Livingston,Education,ESL,METS (Migrant Education Tutorial and Support Services),3 Mt. Morris-Leicester Road,,,Leicester,NY,14481,-77.893688,42.771455,(585) 658-7975,(585) 658-7969,cnorton@gvboces.org,www.gvboces.org,M-F 8:00AM-4:00 PM,No,Yes,By appointment,No,Not required,No cost,"School districts served in Livingston, Wyoming, Genesee, Ontario, yates, Seneca, Steuben, and Allegany Counties. Part of No Child Left Behind program. Works in partnership with local schools. Preschool tutors make weekly home visits; academic support and tutoring for students either in school or at home; adolescent outreach program; services for out-of-school youth; ESL classes; family literacy program; assistance obtaining U.S. citizenship; family advocacy; health services; tutoring summer services; other special activities.",
216,,Allegany,Education; Labor,ESL; Adult education; Career education; Job search assistance; Training,CORE,22 Chapel Street,,,Mt. Morris,NY,14813,-77.874703,42.725192,(844)  WNY-CORE; (585) 658-7970,(585) 228.1015,cgraff@lwny.org,http://core2learn.org/index.html,M-F 8:30 AM-4:00 PM,No,Yes,Yes,No,Not required,No cost,,
217,,Livingston,Education; Financial help; Health; Victim support; Emergency assistance; Programs for families; Referral to other agencies,Parent support; Food; Clothing; Other needs; Victim services; Health Accessibility; Emergency financial aid,Tepeyak Welcoming Migrant Center,175 Main Street,,,Leicester,NY,14481,-77.895208,42.772776,(858) 328-3228 x1384 or x 1354 or x 1328,,Jorge.Salgado@dor.org; Fr.JesusFlores@dor.org,no website,M-F 8:30 AM-4:30PM,Yes,Yes,Yes,No,Not required,No cost,New program that provides welcoming services to Spanish-speaking immigrants in Livingston County,
218,,Livingston,Education; Programs for families,Adult education,CORE The Learning Center,22 Chapel Street,,,Mt Morris,NY,14510,-77.874703,42.725192,(585) 658-7970,,info@lwny.org,http://core2learn.org,M-F 8:30 AM-4:00 PM,No,Yes,By appointment,Depends on the program,Caution: Proof of citizenship may be required for some programs,,,
219,,Livingston,Education; Health,Adult education; Citizenship preparation; Dental; Programs for kids,BOCES Geneseo Migrant Center,3 Mt. Morris-Leicester Rd,,,Leicester,NY,14481,-77.893688,42.771455,(585) 658-7951,(585) 658-7969,snole@gvboces.org,www.migrant.net,M-F 8:00AM-5:00 PM,Yes,"Yes, Spanish",By appointment,Depends on program,Not required,Depends on program,"Adult and child education, health and dental programs, and assistance for naturalization process.",
220,,Livingston,Education; Labor,ESL; Adult education; Career education; Job search assistance; Training,CORE The Learning Center,1 Mill Street,,,Batavia,NY,14510,-78.188727,42.993897,(585) 343-0802,,cgraff@lwny.org,http://core2learn.org/index.html,M-F 8:30 AM-4:00 PM,No,Yes,By appointment,Depends on the pt,Caution: Proof of citizenship may be required for some programs,,,
221,,Livingston,Emergency Assistance,Food,Mt. Morris Food Pantry,102 Main Street,,,Mt. Morris,NY,14510,-77.874010,42.724364,(585) 658-4466,,leigh.mankoff@dor.org,https://www.aboutcclc.org/services/emergency-assistance/food-pantry/,Tu 9:00AM-12:00 PM; W 1:00 PM-3:00 PM; Th 9:00AM-12:00 PM,No,By appointment,By appointment,No,Not required,No cost,,
222,,Livingston,Emergency Assistance,Food,Hemlock Food Pantry,7375 Al Sharpe Avenue,,,Hemlock,NY,14466,-77.608962,42.796555,(585) 69400396,,,https://211lifeline.org/detail.php?id=7337891,By appointment,No,By appointment,By appointment,No,Not required,No cost,,
223,,Livingston,Emergency Assistance,Food,Avon Food Cupboard,108n Prospect Street,,,Avon,NY,14414,-77.745528,42.913454,(585_ 358-1671,,jenannpalmer@gmail.com,https://211lifeline.org/detail.php?id=7331502,Tu 11:00AM-2:00 PM; Th 3:00 PM-5:00 PM,No,By appointment,By appointment,No,Not required,No cost,,
224,,Livingston,Emergency Assistance,Food,Nunda Food Pantry,4 North State Street,Ambulance Hall,,Nunda,NY,14517,-77.942543,42.579015,(585) 328-3380,,info@foodlinkny.org,https://foodlinkny.org/,"Times vary, call to verify next distribution",No,By appointment,By appointment,No,Not required,No cost,,
225,,Livingston,Mental health; Programs for families,Psychological support; Programs for kids,Hispanic Migrant Ministry,152 Main Street,,,Brockport,NY,14420,-77.940242,43.212951,(585) 445-4603 (Jorge Salgado),,contact page on website,https://www.buffalodiocese.org/hispanic-migrant-ministry,24/7,No,Yes,Yes,No,Not required,No cost,"Offer Catholic services in Spanish, baptisms, first communions, marriages, etc.",
